Name,email
"Psychiatrická ambulancia, Bratislava-Dev.Nová Ves, (REA - Ambulancia psychiatrie a psychoterapie, s. r. o.)",andrea.marsalova@gmail.com
"Centrum sociálnych služieb - DEMY, Biskupická 7707",info@demytrencin.sk
"Všeobecná ambulancia pre dospelých, MUDr. Katarína Palugyayová, Bratislava-Staré Mesto, (CREDO-MED s.r.o.)",credomed331@gmail.com
"Stredisko prof.J.Červeňanského, s.r.o., Záporožská 12, 851 01 Bratislava, Bratislava-Nové Mesto, (Stredisko prof. Jána Červeňanského, s.r.o.)",domacarehabilitacia@gmail.com
"Stredisko prof.J.Červeńanského s.r.o., Vajnorská, Bratislava-Nové Mesto, (Stredisko prof. Jána Červeňanského, s.r.o.)",domacarehabilitacia@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Dúbravka, (MEDIRA, s. r. o.)",esterakubicova@gmail.com
"VESELY Očná Klinika, Bratislava-Staré Mesto, (VESELY Očná Klinika, s.r.o.)",info@veselyok.com
"VESELY Očná Klinika, Hroncova, Košice-Sever, (VESELY Očná Klinika, s.r.o.)",info@veselyok.com
"Gastroenterologická ambulancia, MUDr. Peter Slezák, Bratislava-Nové Mesto, (SYMED s.r.o.)",symed.info@gmail.com
"VESELY Očná Klinika, Bratislava-Staré Mesto, (VESELY Očná Klinika, s.r.o.)",info@veselyok.com
"Chirurgická ambulancia, Kletsko Lyubomyr, Martin, (SVIT-MED, s.r.o)",l.klecko100@gmail.com
"Všeobecná ambulancia pre dospelých, Bratislava-Ružinov, (KHH-MED, s.r.o.)",ambulancia@khh.doctor
"Centrum sociálnej starostlivosti Podhorie, n.o.",centrum.podhorie@gmail.com
"Domov dôchodcov Hrachovište, n. o.",ddhrach@gmail.com
"Domov n. o., Partizánske, Nádražná 649",domovpartizanske@gmail.com
"HARMÓNIA n.o., Košovská cesta 58",kvrablova67@gmail.com 
Mesto Partizánske,ludmila.fremalova@partizanske.sk
"SENIOR Nitrianske Rudno, n.o.",seniornr@seniornr.sk
"Sociálne služby Myjava, n.o., Trokanova 236",jana.galikova@myjava.sk
Účelové zariadenie cirkvi BÉTEL Vrbovce,fara.vrbovce@zoznam.sk
"Centrum sociálnych služieb - BYSTRIČAN, M. Kukučína 207",info@cssbystrican.sk
"Centrum sociálnych služieb - BYSTRIČAN, Zakvášov 1935",info@cssbystrican.sk
"Centrum sociálnych služieb - AVE, Športovcov 671",info@cssdubnica.sk
"Mesto Nová Dubnica, Sad duklianskych hrdinov 88",msu@novadubnica.sk
"Mesto Nová Dubnica, Trenčianska 727",vankova@novadubnica.sk; cizova@novadubnica.sk
"SPOKOJNOSŤ - centrum sociálnych služieb, n. o., Ciglianska cesta 2643",dessuet@ispokojnost.sk 
Mesto Prievidza,emilia.cavojska@prievidza.sk
Lekáreň SANUS,sanuspartizanske@gmail.com
"Mesto Dubnica nad Váhom, Moyzesova 396",alena.masarova@dubnica.eu
"Centrum sociálnych služieb - Juh, Liptovská 3134",veronika.strakova@csstrencin.sk
Obec Nitrianske Pravno,prednosta@nitrianskepravno.sk
Obec Lazy pod Makytou,matrika@lazypodmakytou.sk
"Centrum sociálnych služieb - Chmelinec, Hoštínska 1620",info@csschmelinec.sk
Obec Malinová,olga.kovacova@bojnice.sk
"Centrum sociálnych služieb Žarec, M. R. Štefánika 2533",elarisova@vuczilina.sk
Obec Oslany,ocu@oslany.sk
"Centrum sociálnych služieb -  Partizánske, Škultétyho 653",info@csspartizanske.sk
"Centrum sociálnych služieb -  Partizánske, Škultétyho 653",info@csspartizanske.sk
Obec Pruské,starosta@obecpruske.sk
"HUMANITY-Centrum sociálnej pomoci, Viničná ulica 679",info@csphumanity.sk
Obec Košecké Podhradie,kpodhradie@dcnet.sk
Obec Košeca, starosta@koseca.sk
Obec Zlatníky,z.magdolenova@centrum.sk
Obec Pečeňany,z. magdolenova@centrum.sk
Mesto Brezová pod Bradlom,mesto@brezova.sk
Mesto Brezová pod Bradlom,mesto@brezova.sk
"Sociálne služby mesta Trenčín, m. r. o., Lavičková 2383",ssmtn@ssmtn.sk
"Mesto Nemšová, Odbojárov 184",trencan@nemsova.sk
"Mesto Nemšová, Odbojárov 184",trencan@nemsova.sk
"Mesto Myjava, Hoštáky 671",jana.galikova@myjava.sk
"Iskierka nádeje SD, n. o., Pri parku 39",info@iskierkanadeje.sk
"Centrum sociálnych služieb - LIPOVEC, Školská 806",info@csshornesrnie.sk
"Centrum sociálnych služieb - LIPOVEC, Školská 806",info@csshornesrnie.sk
Centrum sociálnych služieb - Nová Bošáca,info@cssbosaca.sk
Centrum sociálnych služieb - Nová Bošáca,info@cssbosaca.sk
Obec Dolná Súča,podatelna@dolnasuca.sk
Obec Dolná Súča,podatelna@dolnasuca.sk
Obec Dolná Súča,podatelna@dolnasuca.sk
"Všeobecná ambulancia pre dospelých, Bratislava-Nové Mesto, (GP STOMEX spol. s r.o.)",lubica.cibulova@nudch.eu
"Centrum sociálnych služieb - Riviéra, n. o.",hromadova8@post.sk
Panda n. o.,panda@zariadeniepreseniorov.eu
"Občianske združenie Čistá duša, Janka Palu 45",trencanovamaria@post.sk
Mesto Stará Turá,socialne@staratura.sk
"Ambulancia zubného lekárstva, Bratislava-Petržalka, (1. DENTÁLNE CENTRUM s. r. o.)",info@1dc.sk
Centrum sociálnych služieb - NÁDEJ,"frantisek.martaus@cssdolnylieskov.sk, info@cssdolnylieskov.sk"
"Centrum sociálnych služieb - DEMY, Biskupická 2046",info@demytrencin.sk ; tibor.gavenda@demytrencin.sk
Obec Nedožery-Brezany,alapechula@gmail.com
Obec Záriečie,obec@zariecie.sk
Obec Dohňany,sekretariat@dohnany.sk
Obec Opatovce nad Nitrou,ocu@opatovcenadnitrou.sk
Obec Tuchyňa,ocu.tuchyna@slovanet.sk
"Mesto Ilava, Mierové námestie 16/31",anna.bakosova@ilava.sk
Obec Pravenec,olga.kovacova@bojnice.sk
Obec Pravenec,olga.kovacova@bojnice.sk
Obec Červený Kameň,urad@cervenykamen.sk
Obec Podolie,starosta@podolie.sk
Obec Kostolec,obeckostolec@centrum.sk 
Obec Sebedražie,starostka@sebedrazie.sk
Obec Slavnica,slavnica@slavnica.sk
Obec Nedožery-Brezany, alapechula@gmail.com
Obec Chrenovec - Brusno,chrenovec@slovanet.sk
Obec Chocholná-Velčice,obec@chocholna-velcice.sk
Mesto Púchov,primator@puchov.sk
Obec Neporadza,obec@neporadza.sk
Obec Trenčianske Jastrabie,starosta@trencianskejastrabie.sk
Obec Uhrovec,obec@uhrovec.sk
Mesto Nováky,podatelna@novaky.sk
Obec Nitrianske Rudno,info@nitrianskerudno.sk
Obec Lehota pod Vtáčnikom,obecnyurad@lehotapodvtacnikom.sk
Obec Streženice,starosta@obecstrezenice.sk
Obec Zamarovce,zamarovce@obeczamarovce.sk
Obec Bystričany,obec@bystricany.sk
"Obec Malé Uherce, Uherecká 110",podatelna@maleuherce.sk
"Spoločná úradovňa samosprávy, n. o.; SÚS n. o.",susnmnv@gmail.com
Obec Cigeľ,starosta@cigel.sk
Obec Dubodiel,starosta@dubodiel.sk
Obec Ivanovce,obec@ivanovce.sk
Obec Nimnica,obec@nimnica.eu
Obec Brvnište,dagmar.mikudikova@brvniste.sk
Obec Skačany,obec@skacany.sk
"SENIOR CENTRUM HANDLOVÁ, n.o., Márie Krššákovej 1107",seniorcentrum@handlova.sk
"Pokoj v duši n. o., Kuzmányho 903",zpskatkapb@gmail.com
Zariadenie sociálnych služieb Obce Horná Mariková,zssobcehornamarikova@gmail.com
"Ambulancia klinickej logopédie, PhDr. Daniela Bittera, Trenčín, (LOGO-BIO, s. r. o.)",logobio.tn@gmail.com
"Dermatovenerologická ambulancia, MUDr. Mária Korcová, Považská Bystrica, (Derma - amb. PB s.r.o.)",dermaamb@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Helena Janišová, Trenčín, (HELPraktik s.r.o.)",HELPraktik@gmail.com
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Peter Novodvorský PhD., MRCP, Trenčín, (MUDr. Korecová, metabolické centrum s.r.o.)",metabolickecentrumtn@outlook.sk
"Všeobecná ambulancia pre dospelých, MUDr. Mária Králiková, Bánovce nad Bebravou, (MUDr. Mária Králiková)",mkralikova@szm.sk
"Nefrologická ambulancia, Považská Bystrica, (FMC - dialyzačné služby, s.r.o.)",dialyza.pb@fmc-ag.com
"Nefrologická ambulancia, MUDr. Katarína Görögová, Nové Mesto nad Váhom, (FMC - dialyzačné služby, s.r.o.)",katarina.gorogova@fmc-ag.com
"Všeobecná ambulancia pre dospelých MUDr. Gabriela Mikulášová, Uhrovec, (BONUMED s. r. o.)",bonumedsro@gmail.com
"Ambulancia klinickej imunológie a alergológie, MUDr. Ľudmila Uričová, Ilava, (CLINAL, s. r. o.)",uricova@clinal.sk
"ADOS, Horná Súča, (Mgr. Ľuba Slivová)",lubaslivova@gmail.com
"Gynekologická ambulancia, MUDr. Pavol Garaj, Brezová pod Bradlom, (FemiMed, s.r.o.)",dr.pavol.garaj@gmail.com
"Gynekologická ambulancia, MUDr. Pavol Garaj, Vrbovce, (FemiMed, s.r.o.)",dr.pavol.garaj@gmail.com
Pokoj v duši n. o.,zpskatkapb@gmail.com
"DOBROTHERAPY s.r.o., Prievidza, (DOBROTHERAPY s.r.o.)",dobrotherapy@gmail.com
"Rehabilitačná ambulancia MUDr.Martina Sameková, Trenčín, (MUDr. Martina Sameková)",rehabilitaciatn@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Milan Jamárik, Nové Mesto nad Váhom, (VES - MED, s. r. o.)",vlddnm@protonmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Soňa Sázelová, Trenčín, (BONNE SANTÉ, s.r.o.)",bonnesantesro@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Renáta Ráclavská, Nová Bošáca, (MUDr. Renáta Raclavská)",ambulancia.bosaca@gmail.com
"Ambulancia klinickej imunológie a alergológie, MUDr. Mária Balážová, Košice-Juh, (MAMED, s.r.o.)",stebal@centrum.sk
"Všeobecná ambulancia pre dospelých, MUDr. Gabriela Kolesárová, Čaňa, (KOLMED s.r.o.)","gkolesarova@gmail.com,  zscana@gmail.com"
"Všeobecná ambulancia pre dospelých, MUDr. Anton Paľovčík, MPH, Moldava nad Bodvou, (G. Praktik s.r.o.)",lekar@gpraktik.sk 
"Všeobecná ambulancia pre dospelých, MUDr. Eva Dzurovčinová, Veľká Ida, (HELDIA spol. s r. o.)",dzurovcinovaeva@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Renáta Raclavská, Bošáca, (MUDr. Renáta Raclavská)",ambulancia.bosaca@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Bohuslav Tholt, Dubnica nad Váhom, (MUDr. Bohuslav Tholt)",obvodakdca@gmail.com 
"Detská nefrologická ambulancia, Bojnice, (Nemocnica s poliklinikou Prievidza so sídlom v Bojniciach)",marianna.strecanska@hospital-bojnice.sk 
"Všeobecná ambulancia pre dospelých, Maryna Kirsanova, Brezová pod Bradlom, (POLYMORF  s.r.o.)",maryna.kirsanova@gmail.com
"Ambulancia klinickej psychológie, PaedDr. Klaudia Šanková, Trenčín, (Viadia s.r.o.)",ksankova@hotmail.com
"Oftalmologická ambulancia, MUDr. Ján Sokolík, Trenčín, (Očné centrum Sokolík, s. r. o.)",recepcia@ocnesokolik.sk
"Ambulancia vnútorného lekárstva, MUDr. Dagmar Žáková, Trenčín, (MUDr. Žáková s.r.o.)",mojaobvodna@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Dagmar Žáková, Trenčín, (MUDr. Žáková s.r.o.)",mojaobvodna@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Šulíková, Trenčianska Teplá, (Laugo Med s. r. o.)",ambulancia.tepla@gmail.com  
"Všeobecná ambulancia pre dospelých, Melčice-Lieskové, (SURGE s.r.o.)",info@orechovska.sk
"Ambulancia vnútorného lekárstva, MUDr. Martina Muchová, Sobrance, (DK-med, s.r.o.)",muchovamatka@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Darina Čiková, Beluša, (ZS Beluša s.r.o)",cikova.ambulancia@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Alica Jászberényiová, Púchov, (MEDITAL, s.r.o.)",medital123@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Vladimír Kolník, Púchov, (MUDr. Vladimír Kolník)",recept.kolnik@gmail.com
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Ľudmila Kubincová, Púchov, (DIA-MED CENTRUM s.r.o.)",diabetolog.puchov@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Izabela Kováčová, Rožňava, (MUDr. Izabela Kováčová)",mudr.izabelakovac@gmail.com 
"Ambulancia zubného lekárstva, MUDr. Róbert Mišiak, Dolné Vestenice, (ROMIDENT, s. r. o.)",romidentsro@gmail.com
"Psychiatrická ambulancia, MUDr. Monika Cagáňová, Handlová, (Psyche a empatia s.r.o.)",vancova@seznam.cz ( aj pre účely teleterapie)
"Neurologická ambulancia, MUDr. Ján Trojan, Nováky, (JVT s.r.o.)",neurologia.novaky@gmail.com
"Gynekologická ambulancia, MUDr. Nidal Abutuaima, Prievidza, (GYNFEREA s. r. o.)",gynferea@gynferea.sk
"Všeobecná ambulancia pre dospelých, MUDr. Radmila Reiterová, Nováky, (FORTISCHEM a. s.)",radmila.reiterova@fortischem.sk
"Psychiatrická ambulancia, Považská Bystrica, (Psychické zdravie s.r.o.)",info@psychickezdravie.sk
"Otorinolaryngologická ambulancia, MUDr. Ivana Kucejová, Považská Bystrica, (OtoNew s. r. o.)",otonew.pb@gmail.com
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Lucia Gajdošíková, Považská Bystrica, (MED-DIA CENTRUM s.r.o.)",metabology@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Zuzana Markotánová, Smižany, (AGRIMONIA, s.r.o.)",agrimonia272@gmail.com
"Otorinolaryngologická ambulancia, MUDr. Dagmar Kalivodová, Považská Bystrica, (MUDr. Dagmar Kalivodová)",foniatriapb@centrum.sk
"Všeobecná ambulancia pre dospelých, MUDr. Jozef Fľak, Považská Bystrica, (JF Med, s.r.o.)",ordinacia.jfmed@gmail.com
"Ambulancia zubného lekárstva, MUDr. Ladislav Kovács, Čierna nad Tisou, (Dentilux, s.r.o.)",klad@centrum.sk
"Ambulancia vnútorného lekárstva, MUDr. Andrea Morová, Stará Turá, (SPAOLO, s. r. o.)",interna.morova@gmail.com
"Gynekologická ambulancia, MUDr. Pavol Durdík, Nové Mesto nad Váhom, (SaluD s.r.o.)",durdikp@salud.sk
"Všeobecná ambulancia pre dospelých, MUDr. Ing. Andrea Staníková, Stará Turá, (ESAMED s. r. o.)",andreaambulancia@gmail.com 
"Ambulancia čeľustnej ortopédie, MUDr. Jozef Galbavý, Stará Turá, (AP ORTHO s. r. o.)",aportho@aportho.sk
"Ambulancia zubného lekárstva, MUDr. Anna Jakubcová, Myjava, (MUDr. Anna Jakubcová)",zajakubcova@gmail.com
"Chirurgická ambulancia, Dlhé Pole, (Sanarelax, s.r.o.)",info@sanarelax.sk
"Všeobecná ambulancia pre dospelých, MUDr. Martin Šebík, Horné Srnie, (NITRAM, s. r. o.)",sebik.ambulancia@slovanet.sk 
"Všeobecná ambulancia pre dospelých, MUDr. Viera Györiová, Dubnica nad Váhom, (MEDICO PLUS, s. r. o.)",ambulancia.viera@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Viera Györiová, Ladce, (MEDICO PLUS, s. r. o.)",ambulancia.viera@gmail.com
"Gastroenterologická ambulancia, Gelnica, (MUDr. Mária Macúchová)",machovam@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Lukácsová, Moldava nad Bodvou, (MUDr. Zuzana Lukácsová)",lukacsovazuzana@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Beáta Bláhová, Krompachy, (GPMED s.r.o.)",bblahova46@mail.com
"Oftalmologická ambulancia, MUDr. Eva Trizuljaková, Považská Bystrica, (VISTAMET, s. r. o.)",objednavky@vistamet.sk
"Ambulancia Sangre azul - neviditeľné strojčeky - MUDr.Thurzo, Bratislava-Staré Mesto, (Sangre azul s.r.o.)",sangreazul@3Dent.sk
"Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Ľubica Hrachová, Handlová, (MUDr. Ľubica Hrachová)",ambulancia.hrachova@gmail.com
"Ambulancia zubného lekárstva, MUDr. Nataša Hudeková, Považská Bystrica, (MUDr. Nataša Hudeková)",natasa.hudekova54@gmail.com
"Jednodňová zdravotná starostlivosť, oftalmológia, MUDr. Eva Trizuljaková, Považská Bystrica, (VISTAMET, s. r. o.)",objednavky@vistamet.sk
"LEKÁREŇ 24, s.r.o.",lekaren.strecnianska@apothekeslovakia.sk
"Všeobecná ambulancia pre dospelých, MUDr. Gregorová Ida, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",rodinnylekar@probios.sk
"Dermatovenerologická ambulancia, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",dermatologia@probios.sk
"Gynekologická ambulancia, MUDr. Vladimír Horák, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",gynekologia2@probios.sk
"Endokrinologická ambulancia, MUDr. Urbanová Monika, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",endokrinologia@probios.sk
"Ambulancia vnútorného lekárstva, MUDr. Voržáková, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",interna@probios.sk
"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, MUDr Katarína Ščešňáková, Bánovce nad Bebravou, (MEDICARE-BN, s.r.o.)",rehabilitaciabn@gmail.com
"Ambulancia klinickej psychológie, Mgr. Žabkayová, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",psycholog@probios.sk
"Urologická ambulancia, MUDr. Jozef Dubravický, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",urologia@probios.sk
"Neurologická ambulancia, MUDr. Rosoľanka Michal, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",neurologia@probios.sk
"Oftalmologická ambulancia, MUDr. Štúrová, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",ocna@probios.sk
"Kardiologická ambulancia, MUDr. Akubžánová Eva, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",kardiologia@probios.sk
"Ambulancia fyziatrie, balneológie a liečebnej rehabilitácie, MUDr. Paulechová, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",rehabilitacia@probios.sk
"Gynekologická ambulancia, MUDr. Alexandra Zágyiová, Bratislava-Ružinov, (PRO BIOS spol. s r.o. neštátna poliklinika)",gynekologia1@probios.sk
"Všeobecná ambulancia pre deti a dorast, MUDr. Simona Rendková, Bratislava-Ružinov, (SimiPedia s.r.o.)",sestricka.simipedia@gmail.com 
